name,state_name,lga_code
AKOKO SOUTH WEST,OND,OND-ASO
OSE,OND,OND-OSE
OWO,OND,OND-OWO
AKURE NORTH,OND,OND-AKH
AKURE SOUTH,OND,OND-AK1
IFEDORE,OND,OND-IFE
ILE OLUJI/OKEIGBO,OND,OND-ILE
ONDO WEST,OND,OND-ONW
ONDO EAST,OND,OND-ONE
IDANRE,OND,OND-IDA
ODIGBO,OND,OND-ODI
OKITIPUPA,OND,OND-OKI
IRELE,OND,OND-IRE
ESE-ODO,OND,OND-ESE
ILAJE,OND,OND-ILA
BADAGRY,LAG,LAG-BAD
OJO,LAG,LAG-OJO
AMUWO ODOFIN,LAG,LAG-AMU
ALIMOSHO,LAG,LAG-ALI
AGEGE,LAG,LAG-AGE
IFAKO-IJAIYE,LAG,LAG-IFA
IKEJA,LAG,LAG-IKE
OSHODI ISOLO,LAG,LAG-OSH
MUSHIN,LAG,LAG-MUS
SURULERE,LAG,LAG-SUR
AJEROMI-IFELODUN,LAG,LAG-AJE
APAPA,LAG,LAG-APA
LAGOS ISLAND,LAG,LAG-LAI
LAGOS MAIN LAND,LAG,LAG-LAM
SOMOLU,LAG,LAG-SOM
KOSOFE,LAG,LAG-KOS
IKORODU,LAG,LAG-IKO
ETI-OSA,LAG,LAG-ETI
IBEJU-LEKKI,LAG,LAG-IBE
EPE,LAG,LAG-EPE
IMEKO_AFON,OGU,OGU-IME
EGBADO NORTH,OGU,OGU-EGN
ABEOKUTA NORTH,OGU,OGU-ABN
ABEOKUTA SOUTH,OGU,OGU-ABS
ODEDA,OGU,OGU-ODE
OBAFEMI OWODE,OGU,OGU-OBA
EWEKORO,OGU,OGU-EWE
EGBADO SOUTH,OGU,OGU-EGS
IPOKIA,OGU,OGU-IPO
ADO-ODO_OTA,OGU,OGU-ADO
IFO,OGU,OGU-IFO
SAGAMU,OGU,OGU-SAG
IKENNE,OGU,OGU-IKE
REMO NORTH,OGU,OGU-REM
IJEBU NORTH,OGU,OGU-IJN
ODOGBOLU,OGU,OGU-ODO
IJEBU ODE,OGU,OGU-IJO
IJEBU NORTH EAST,OGU,OGU-INO
IJEBU EAST,OGU,OGU-IEA
OGUN WATERSIDE,OGU,OGU-OGU
